"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"DL01","SEVEN SEAS VINTAGE Marine Mint","vim&co Suncare","SEVEN SEAS AUSTRALIA",0.00,0.00,1.00,$39.95,$18.00,$0.00,$18.32,02/05/2022  17:36:54,14/12/2021  10:49:31,14/12/2021,$18.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"PLANT16","PLANT 16","Vim&Co Garden","Vim&Co",25.00,0.00,0.00,$16.00,$8.00,$0.00,$6.55,18/02/2022  13:30:25,,09/06/2021,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"DKABP","DJUVE ALDER BLANKET pink","vim&co Babycare","DJUVE KNITS",0.00,0.00,0.00,$89.00,$53.87,$0.00,$27.04,08/12/2020  15:00:25,30/08/2019  18:39:27,30/08/2019,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"MAE-YD12","LOVE MAE Divided Plate Set On Safari","vim&co Babycare","Love Mae",0.00,0.00,0.00,$45.00,$20.50,$0.00,$20.41,,09/11/2021  17:17:02,09/11/2021,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"AC134","Ashkahn - Birthday Balloon","vim&co Boutique","TELEGRAM CO.",0.00,0.00,0.00,$7.95,$3.79,$0.00,$3.44,10/10/2019  16:15:22,08/06/2019  12:10:16,14/11/2018,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,,"Marvis Whitening Tester","vim&co Oralcare","BARBER BRANDS INTERNATIONAL",1.00,0.00,0.00,$0.00,$2.88,$0.00,$-2.88,,12/12/2019  11:58:16,12/12/2019,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,,"IE Sleep Tester","vim&co Natural Health","HERITAGE BRANDS",0.00,0.00,0.00,$0.00,$9.35,$0.00,$-9.35,,12/06/2020  18:18:48,03/06/2020,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"BL-G-CCM-300","REAL WORLD Cucumber & Mint Body Lotion 300mL","vim&co Skincare Beauty","REAL WORLD NZ LIMITED",0.00,0.00,0.00,$48.50,$19.17,$0.00,$24.92,03/01/2021  11:09:56,30/06/2020  12:07:35,31/12/2017,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"RBBBS","SAISON B/WOOD BATH BRUSH 30cm","vim&co Skincare General","SAISON PTY LTD",2.00,0.00,1.00,$34.95,$15.90,$-1.08,$15.87,08/05/2022  12:18:47,09/10/2021  16:35:41,24/12/2018,$14.45,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,,"BAX HERBAL MINT TONER Tester","vim&co Mens Toiletries","BARBER BRANDS INTERNATIONAL",1.00,0.00,0.00,$0.00,$12.57,$0.00,$-12.57,,12/12/2019  11:58:16,12/12/2019,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
"Monday Morning Sales",,"From:","01/05/2022","To:","12/05/2022","VIM&CO PHARMACY","1 154-156 NEWCASTLE ST","NORTHBRIDGE  WA  WA 6003","APN","PDE","Stock Name","Dept","Supplier","Stock on Hand","Qty on Ord","Qty Sold","Sell Price","Cost","Sales GP$","GP $","Last Sold","Last Purchased","Created","Sales Val Ex",,"109","WILDWOOD KIDS Teether Elephant  Olive","vim&co Babycare","WILDWOOD KIDS",0.00,0.00,0.00,$29.95,$14.97,$0.00,$12.26,24/02/2022  15:24:45,03/11/2021   8:08:34,28/10/2021,$0.00,"11,016.00",276.00,841.00,"$128,643.58","$65,440.08","$6,786.88","$52,182.99","$17,789.79",12/05/2022, 6:57 pm,"P: 08 9328 9447   F: 08 9328 9441","Page -1 of 1"
